species,adultForearmLen_mm,adultHeadBodyLen_mm
Balantiopteryx io,37,40.2
Eptesicus matroka,32.49,82.49
Eptesicus serotinus,50.3,67.99
Brachyphylla cavernarum,66.21,81.26
Brachyphylla nana,58.26,84.19
Desmodus rotundus,58.29,78
Diclidurus albus,66,69.99
Diphylla ecaudata,54.99,78.99
Emballonura atrata,38.24,57.5
Emballonura semicaudata,46.5,47
Chiroderma villosum,45.51,63.99
Carollia perspicillata,42.45,59.99
Catagonus wagneri,140.59,1025.93
Choeronycteris mexicana,44.49,66
Chrotopterus auritus,82.56,103
Coleura seychellensis,54.34,59.99
Corynorhinus townsendii,43.4,57.5
Craseonycteris thonglongyai,24.11,30.99
Cryptoprocta ferox,246,726.04
Cynopterus sphinx,71,98.99
Dobsonia beauforti,105.74,161.28
Dobsonia crenulata,122.37,178.14
Dobsonia emersa,115.64,164.32
Dobsonia exoleta,114.76,202.74
Dobsonia inermis,107.25,173.98
Dobsonia pannietensis,110.83,186.23
Dobsonia praedatrix,116.5,161.13
Dyacopterus spadiceus,79.66,129.3
Eidolon dupreanum,127.72,202.5
Eidolon helvum,120.5,182.58
Eonycteris spelaea,69,123.83
Epomophorus gambianus,85.27,159.41
Epomophorus grandis,63.56,135.96
Epomophorus labiatus,73.23,94.33
Epomophorus wahlbergi,80.66,131.69
Epomops franqueti,89.44,135.03
Harpyionycteris celebensis,90.29,144.16
Harpyionycteris whiteheadi,85.47,152.15
Glossophaga soricina,35.7,48.99
Hipposideros caffer,46.5,54.99
Hipposideros commersoni,95.99,127.5
Hipposideros cyclops,64.74,75.99
Lasiurus cinereus,54.4,75.35
Latidens salimalii,67.49,106.38
Lavia frons,56,66.99
Hylonycteris underwoodi,34,59.84
Hypsignathus monstrosus,127.5,226.48
Idionycteris phyllotis,44.49,59
Megaloglossus woermanni,41.83,40.59
Molossus molossus,38.22,59.82
Mormoops megalophylla,54.99,66.74
Lissonycteris angolensis,73.08,105.16
Macroderma gigas,107,115.82
Macroglossus minimus,40.23,68.09
Macrotus waterhousii,51.64,58.36
Megaderma lyra,69.5,73.99
Melonycteris melanops,59.99,94.13
Melonycteris woodfordi,53.73,88.28
Micropteropus pusillus,51.98,76.38
Myotis sodalis,38.49,47.43
Myotis thysanodes,43.39,52.39
Myzopoda aurita,48,58
Myonycteris torquata,60.94,99.4
Myotis daubentonii,36.59,44.4
Myotis goudoti,39.48,95
Myotis lucifugus,37.76,52.7
Myotis myotis,63.9,72
Neoromicia somalicus,28.94,84.99
Neoromicia tenuipinnis,30.96,37
Noctilio albiventris,59.96,66.5
Nyctalus noctula,51.58,75
Nycteris grandis,58.49,75.99
Nycteris madagascariensis,51,115
Nycteris thebaica,45.25,52.65
Nyctimene aello,82.74,121.55
Nyctimene albiventer,54.78,82.32
Nyctimene cephalotes,65.03,94.7
Nyctimene certans,60.71,86.36
Nyctimene draconilla,49.99,110
Nyctimene major,76.12,134.03
Nyctimene malaitensis,65.1,119.69
Nyctimene vizcaccia,58.07,93.93
Otonycteris hemprichii,63.09,64.6
Paranyctimene raptor,51.66,77.67
Pecari tajacu,95.59,889.34
Pteronotus parnellii,60.09,57
Pteronotus personatus,44.49,45.21
Pteropus admiralitatum,115,179.97
Pteropus alecto,165.99,254.6
Pteropus brunneus,117.99,117.64
Pteropus caniceps,140.22,216.67
Phyllonycteris aphylla,46.5,70
Phyllonycteris poeyi,47.79,63.99
Phyllostomus hastatus,83.27,107
Pteralopex acrodonta,117.99,186.79
Pteralopex anceps,165.5,262.31
Pteralopex atrata,142.48,207.44
Pteropus chrysoproctus,170,253.59
Pteropus faunulus,114.65,169.49
Pteropus fundatus,101.56,147.36
Pteropus gilliardorum,114.63,159.02
Rhynchonycteris naso,38.11,42.94
Rousettus aegyptiacus,93.2,167.37
Rousettus amplexicaudatus,76.88,107.63
Pteropus howensis,119,184.64
Pteropus hypomelanus,132,204.9
Pipistrellus kuhlii,34.69,45.99
Pipistrellus pipistrellus,31.46,39.98
Pipistrellus rueppellii,32.58,45
Platyrrhinus vittatus,57.11,81.99
Plecotus austriacus,39.7,41
Pteropus livingstonii,172.95,340
Pteropus lylei,151.74,237.49
Pteropus macrotis,135.24,211.17
Pteropus mahaganus,137.5,189.92
Pteropus mariannus,135.49,217.5
Pteropus melanopogon,191.5,285.02
Pteropus neohibernicus,195.13,279.07
Pteropus nitendiensis,119.32,175.48
Pteropus ocularis,138.68,202.87
Pteropus ornatus,153.99,183.18
Pteropus personatus,91.9,136.38
Pteropus pohlei,131,197.33
Pteropus poliocephalus,162,272.59
Pteropus rayneri,158.61,255.53
Pteropus tokudae,93.49,145.5
Pteropus tonganus,136.16,177.32
Pteropus vetulus,101.83,135.99
Pteropus woodfordi,88.28,141.52
Rousettus celebensis,71.76,104.5
Rousettus madagascariensis,70.91,129.99
Rhinolophus hilli,53.08,60.86
Rhinolophus hipposideros,37.49,38.99
Rhinonicteris aurantia,47.74,49.99
Rhinopoma hardwickii,59.5,59.8
Rhinopoma microphyllum,68.08,61.82
Scotophilus robustus,62.5,152.5
Stenoderma rufum,49.37,61.87
Sturnira aratathomasi,58.59,89.27
Sturnira lilium,40.5,65.96
Styloctenium wallacei,94.87,164.5
Triaenops furculus,43.99,67.5
Triaenops rufus,52.5,87.49
Syconycteris australis,41.9,67.38
Syconycteris hobbit,47.88,68.87
Tadarida aegyptiaca,49.99,75
Tadarida brasiliensis,42.26,41.49
Tadarida teniotis,59.99,84
Taphozous mauritianus,61.74,84.99
Taphozous nudiventris,76.15,85.99
Taphozous perforatus,62,72.49
Acerodon celebensis,133.5,201.25
Alionycteris paucidentata,44.61,63.8
Anoura caudifer,36.25,58.32
Aproteles bulmerae,166.24,245.47
Artibeus jamaicensis,60.34,78.3
Artibeus lituratus,70.33,95.35
Artibeus phaeotis,38.55,55.5
Asellia tridens,51.33,56
Tayassu pecari,119,1110
Thoopterus nigrescens,72.33,104.48
Vampyressa pusilla,30.5,53
